children,parent
level,
12113,level
11654,level
11650,level
11647,level
11632,level
11608,level
11369,level
11322,level
11321,level
11229,level
11213,level
10749,level
10744,level
10574,level
5827,level
860,level
43,level
176,1
183,20
101,21
24,23
116,26
189,34
167,40
44,43
46,43
48,43
129,43
133,43
146,43
186,43
12031,43
12046,43
45,44
47,44
106,44
107,44
108,44
109,44
110,44
111,44
124,44
149,44
150,44
163,44
164,44
165,44
166,44
168,44
154,45
155,45
147,47
148,47
153,47
51,49
52,49
53,49
54,50
55,50
121,50
127,56
179,56
175,63
130,70
173,98
178,99
5,106
6,106
7,106
8,106
9,106
72,106
73,106
132,106
135,106
4,107
10,107
12,107
16,107
39,107
74,107
75,107
76,107
11,108
13,108
14,108
15,108
41,108
77,108
78,108
79,108
80,108
128,108
65,109
67,109
68,109
69,109
70,109
71,109
112,109
113,109
122,109
137,109
27,110
28,110
29,110
30,110
117,110
118,110
119,110
120,110
123,110
125,110
126,110
157,110
37,111
82,111
83,111
162,118
17,124
98,124
115,124
131,129
159,129
134,133
136,133
172,133
141,138
142,138
12100,138
12101,138
18,149
19,149
20,149
40,149
91,149
92,149
93,149
94,149
96,149
97,149
114,149
145,149
156,149
185,149
187,149
26,150
31,150
32,150
33,150
36,150
38,150
81,150
86,150
87,150
88,150
144,150
152,150
158,150
174,150
184,150
160,151
170,156
1,163
2,163
3,163
56,163
57,163
58,163
59,163
60,163
61,163
62,163
63,163
64,163
66,163
169,163
180,163
25,164
34,164
35,164
84,164
85,164
89,164
90,164
102,164
103,164
104,164
161,164
21,166
22,166
23,166
42,166
99,166
100,166
105,166
151,166
171,172
177,180
181,180
182,180
95,185
188,187
6193,860
6198,860
6229,860
6230,860
8034,860
8042,860
8059,860
9803,860
10112,860
3283,2201
4355,3547
4358,3547
4359,3547
7988,3547
12064,3547
5131,4355
5132,4355
5119,4358
5120,4358
5128,4358
5129,4359
5130,4359
5125,5106
5126,5106
6103,5119
10049,5120
6134,5121
5124,5128
5828,5130
10079,5130
5127,5132
3547,5827
5874,5827
6241,5827
8103,5827
8118,5827
8131,5827
8137,5827
8253,5827
8281,5827
8297,5827
6550,6193
6551,6193
6235,6198
8088,6198
12063,6198
6204,6199
6205,6199
6557,6204
6558,6204
6559,6204
6560,6204
5631,6205
6552,6205
6553,6205
6539,6207
6540,6207
6541,6207
6542,6207
6543,6207
6544,6207
6554,6210
6555,6210
6556,6210
6200,6222
6201,6222
10056,6224
10119,6224
6935,6225
6530,6226
6531,6226
6536,6226
6537,6226
6538,6226
6545,6227
6546,6227
6547,6227
6548,6227
6549,6227
6909,6228
6910,6228
6911,6228
6912,6228
6199,6229
6222,6229
6231,6229
6232,6229
6233,6229
8043,6230
8062,6230
8090,6230
8091,6230
9027,6230
12075,6230
6202,6231
6203,6231
6210,6231
8095,6231
6223,6232
6224,6232
6225,6232
9691,6233
9763,6233
6207,6235
6236,6235
6660,6241
6673,6241
6949,6241
9811,6241
12065,6241
12072,6241
6947,6658
10019,6659
6946,6660
6948,6663
9960,6672
6945,6673
8035,8034
8052,8034
8053,8034
8076,8034
8083,8034
8084,8034
8036,8035
8054,8035
8077,8035
8085,8035
8719,8036
8735,8037
8736,8037
8737,8037
8738,8037
8741,8038
8742,8038
8743,8038
8774,8039
8775,8039
8776,8039
8777,8039
8778,8040
8779,8040
9978,8040
8788,8041
8789,8041
8790,8041
8791,8041
8060,8042
8061,8042
12061,8042
8092,8043
12092,8043
